TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.serverClientPingPong[4],2,31,13,1,1,0.18,88,293,0,25,33,1,3,0.43,0.25
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.serverClientPingPong[5],2,31,13,1,1,0.18,88,293,0,27,33,1,3,0.45,0.25
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.serverClientPingPong[6],2,31,13,1,1,0.18,88,293,0,43,32,9,2,0.57,0.82
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.serverClientPingPong[7],2,31,13,1,1,0.18,88,293,0,39,32,7,2,0.55,0.78
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.singleServerManyClients[0],2,28,12,1,1,0.22,96,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.singleServerManyClients[1],2,28,12,1,1,0.22,96,258,0,40,30,8,2,0.57,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.singleServerManyClients[2],2,28,12,1,1,0.22,96,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.singleServerManyClients[3],2,28,12,1,1,0.22,96,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.singleServerManyClients[4],2,28,12,1,1,0.22,96,258,0,44,30,10,2,0.59,0.83
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.singleServerManyClients[5],2,28,12,1,1,0.22,96,258,0,40,30,8,2,0.57,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.singleServerManyClients[6],2,28,12,1,1,0.22,96,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.singleServerManyClients[7],2,28,12,1,1,0.22,96,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpEndpointContextTest.testClientSendingEndpointContext,2,29,12,1,1,0.22,99,260,0,20,40,1,11,0.33,0.08
org.eclipse.californium.elements.tcp.netty.TcpEndpointContextTest.testEndpointContext,2,31,13,1,1,0.18,106,293,0,25,42,6,6,0.37,0.5
org.eclipse.californium.elements.tcp.netty.TcpEndpointContextTest.testEndpointContextWhenReconnectAfterStopStart,2,28,12,1,1,0.27,105,258,0,26,32,6,5,0.45,0.55
