TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclExcudeSingleCommand,2,81,18,3,1,0.08,32,531,0,227,130,0,3,0.64,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclGenPass,1,73,16,3,1,0.07,12,451,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclGenPassBinary,1,72,16,3,1,0.07,12,448,0,221,130,0,3,0.63,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclGetUser,1,84,17,4,1,0.08,27,518,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclListDefault,1,72,17,3,1,0.07,11,465,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclLoadTest,1,65,16,3,1,0.06,14,441,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclLogTest,1,128,26,4,1,0.1,80,723,0,259,137,6,4,0.65,0.6
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclSaveTest,1,65,16,3,1,0.06,14,441,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclSetUserWithAnyPassword,2,67,15,3,1,0.08,19,452,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclUsers,1,73,17,3,1,0.07,13,467,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclWhoAmI,1,69,16,3,1,0.08,13,444,0,222,129,0,3,0.63,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.addAndRemoveUser,1,76,17,3,1,0.08,17,474,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.basicPermissionsTest,2,80,18,3,1,0.07,47,528,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.createUserAndPasswords,2,75,16,3,1,0.08,44,517,0,221,130,0,3,0.63,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.commandCount,1,66,16,3,1,0.07,24,422,0,77,97,2,0,0.44,1
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.commandDocs,1,78,19,4,1,0.07,32,492,0,101,107,6,0,0.49,1
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.commandGetKeys,1,73,19,3,1,0.07,28,473,0,98,106,5,0,0.48,1
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.commandInfo,1,83,21,4,1,0.07,35,509,0,109,105,6,0,0.51,1
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.commandList,1,77,18,4,1,0.08,36,489,0,98,108,6,0,0.48,1
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.copy,1,98,21,3,1,0.1,45,516,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.dbSize,1,79,18,3,1,0.07,28,461,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.del,1,88,20,3,1,0.08,43,474,0,95,117,2,4,0.45,0.33
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.dumpAndRestore,1,92,19,3,1,0.09,31,496,0,108,117,2,1,0.48,0.67
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.echo,1,70,15,3,1,0.08,27,448,0,92,99,4,0,0.48,1
