TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterBeginTransactionTest.testExecuteQuery[dialect = GOOGLE_STANDARD_SQL],2,147,32,2,1,0.02,153,870,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterSetReadOnlyMaxStalenessTest.testAbortBatch[dialect = POSTGRESQL],2,90,16,2,1,0.08,116,493,1,0.00,0.00
com.google.cloud.spanner.InlineBeginTransactionTest$InlineBeginTransactionWithExecutorTest.testInlinedBeginAsyncTx[executor = java.util.concurrent.ThreadPoolExecutor@72a3b822[Running; pool size = 0; active threads = 0; queued tasks = 0; completed tasks = 0]],0,381,55,5,1,0.01,478,2776,0,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterEmptyCommitTest.testIsClosed[dialect = GOOGLE_STANDARD_SQL],2,80,14,2,1,0.05,98,450,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterUpdateTest.testWriteIterable[dialect = GOOGLE_STANDARD_SQL],3,141,30,2,1,0.03,108,888,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterSetTransactionReadOnlyTest.testGetOptimizerVersion[dialect = POSTGRESQL],2,78,14,2,1,0.05,104,442,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterBeginReadOnlyTransactionTest.testGetAutocommitDmlMode[dialect = POSTGRESQL],2,81,15,2,1,0.05,106,466,1,0.00,0.00
com.google.cloud.spanner.DatabaseAdminClientTest.dbAdminCreateBackupAlreadyExists,0,120,39,5,1,0.01,406,602,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyAfterSelectAndResultSetNextTest.testBufferedWriteIterable[dialect = GOOGLE_STANDARD_SQL],2,135,32,2,1,0.04,124,852,1,0.00,0.00
com.google.cloud.spanner.SpannerExceptionFactoryTest.resourceExhaustedWithBackoff,0,12,3,1,1,0.03,15,65,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterEmptyCommitTest.testSetAutocommit[dialect = GOOGLE_STANDARD_SQL],2,80,14,2,1,0.05,111,450,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterSetReadOnlyMaxStalenessTest.testBeginTransaction[dialect = GOOGLE_STANDARD_SQL],2,154,33,2,1,0.04,173,886,1,0.00,0.00
com.google.cloud.spanner.connection.ReadOnlyStalenessTest.testDefaultReadOnlyStalenessAutocommitOnce,1,116,24,2,1,0.02,27,760,0,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyAfterTemporaryTransactionTest.testClose[dialect = POSTGRESQL],2,133,30,2,1,0.02,116,806,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterSetReadOnlyMaxStalenessTest.testSetReadOnlyStaleness[dialect = GOOGLE_STANDARD_SQL],2,99,17,2,1,0.09,134,512,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterSelectAndResultSetNextTest.testClose[dialect = GOOGLE_STANDARD_SQL],2,130,29,2,1,0.02,113,784,1,0.00,0.00
com.google.cloud.spanner.TypeTest.emptyStruct,0,8,2,1,1,0.51,29,40,1,0.00,0.00
com.google.cloud.spanner.AsyncTransactionManagerTest.asyncTransactionManagerFireAndForgetInvalidBatchUpdate[executor = MoreExecutors.directExecutor()],0,422,80,5,1,0.01,519,3016,0,0.00,0.00
com.google.cloud.spanner.InstanceAdminGaxTest.updateInstanceTest[exception at call = 1; exception type = DELAYED],0,211,26,5,1,0.02,125,1584,0,0.00,0.00
com.google.cloud.spanner.SpannerOptionsTest.testInvalidSessionLabels,0,79,8,4,1,0.00,7,559,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterStartDdlBatchTest.testStartBatchDml[dialect = POSTGRESQL],2,89,17,2,1,0.04,124,540,1,0.00,0.00
com.google.cloud.spanner.connection.StatementParserTest.testGoogleStandardSQLDialectStatementWithHashTagSingleLineComment[dialect = POSTGRESQL],0,1,1,1,1,1.00,17,11,0,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyNoActionsTest.testGetCommitResponse[dialect = POSTGRESQL],2,77,14,2,1,0.06,115,428,1,0.00,0.00
