TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.inject.EagerSingletonTest.testJustInTimeEagerSingletons,1,366,109,7,1,0.00,22,2548,0,0.00,0.00
com.google.inject.errors.GenericErrorTest.customError,1,166,57,6,1,0.00,28,1219,0,0.00,0.00
com.google.inject.spi.InjectionPointTest.testFieldInjectionPoint,1,66,15,5,1,0.04,39,330,1,0.00,0.00
com.google.inject.CircularDependencyTest.testCircularlyDependentConstructorsWithProviderInstances,1,312,99,6,1,0.00,39,2094,1,0.00,0.00
com.google.inject.throwingproviders.CheckedProviderTest.testExceptionsThrown_Cxtor,0,37,12,1,1,0.05,69,298,0,0.00,0.00
com.google.inject.ProvisionExceptionTest.testExceptionsCollapsedWithScopes,1,410,120,7,1,0.00,31,2792,1,0.00,0.00
com.google.inject.internal.MultibinderTest.testMultibinderSetIsUnmodifiable,1,343,100,8,1,0.00,11,2067,1,0.00,0.00
com.google.inject.spi.ModuleAnnotatedMethodScannerTest.sannerFailureDoesNotPropagateDownstream,2,322,92,7,1,0.00,14,2116,0,0.00,0.00
com.google.inject.spi.ElementApplyToTest.testNewPrivateBinder,4,127,34,6,1,0.01,78,736,0,0.00,0.00
com.google.inject.OptionalBindingTest.testEverythingInjectorToProviderInstance,0,353,112,8,1,0.00,48,2366,0,0.00,0.00
com.google.inject.PrivateModuleTest.testParentBindingToPrivateLinkedJitBinding,1,431,118,7,1,0.00,40,2832,1,0.00,0.00
com.google.inject.util.NoopOverrideTest.testBindConstantWithMultipleAnnotationsAddsError,2,167,49,6,1,0.01,50,908,0,0.00,0.00
com.google.inject.internal.aop.ImmutableStringTrieTest.testSingletonTrie,0,2,1,1,1,0.80,3,5,1,0.00,0.00
com.google.inject.servlet.ServletTest.testScopeExceptions,1,12,8,1,1,0.04,26,100,0,0.00,0.00
com.google.inject.name.NamedEquivalanceTest.testBindingWithJsr330AnnotationCanInjectBothTypes,0,321,98,8,1,0.00,14,2188,0,0.00,0.00
