TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
com.github.scribejava.core.extractors.OAuth2AccessTokenExtractorTest.shouldExtractTokenFromResponseWithManyParameters,1,12,5,3,3,0.55,9,77,1,119,98,4,6,0.55,0.40
com.github.scribejava.core.httpclient.jdk.JDKHttpClientTest.shouldReadResponseStream,3,31,10,4,4,0.11,20,171,1,134,177,1,10,0.43,0.09
com.github.scribejava.httpclient.okhttp.OkHttpHttpClientTest.shouldSendPostRequestWithStringBody,1,12,5,1,1,0.00,2,77,1,75,40,4,2,0.65,0.67
com.github.scribejava.httpclient.armeria.ArmeriaHttpClientTest.shouldSendPostRequestWithBodyParamsBody,2,17,4,1,1,0.04,24,124,1,125,44,0,3,0.74,0.00
com.github.scribejava.httpclient.ahc.AhcHttpClientTest.shouldSendPostRequestWithByteBodyBody,1,7,4,1,1,0.00,2,52,1,44,29,1,1,0.60,0.50
com.github.scribejava.httpclient.okhttp.OkHttpHttpClientTest.shouldSendPostRequestWithByteBodyBody,1,12,5,1,1,0.00,2,77,1,75,40,2,2,0.65,0.50
com.github.scribejava.core.services.TimestampServiceTest.shouldReturnNonce,1,3,1,1,1,0.80,9,10,0,26,3,5,0,0.90,1.00
com.github.scribejava.httpclient.apache.ApacheHttpClientTest.shouldPassErrors,1,9,4,1,1,0.00,2,74,1,59,35,2,4,0.63,0.33
com.github.scribejava.core.extractors.OAuth1AccessTokenExtractorTest.shouldExtractTokenFromInvertedOAuthStandardResponse,1,15,7,3,3,0.48,10,69,1,81,81,2,0,0.50,1.00
com.github.scribejava.core.model.TokenTest.shouldNotDependOnRawString,1,7,3,2,2,0.00,5,30,0,22,30,0,2,0.42,0.00
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testEmptyMultipartPayload,1,8,3,1,1,0.60,13,62,1,47,14,5,3,0.77,0.62
com.github.scribejava.httpclient.ahc.AhcHttpClientTest.shouldSendPostRequestWithStringBody,1,7,4,1,1,0.00,2,52,1,44,29,3,1,0.60,0.75
com.github.scribejava.core.httpclient.jdk.JDKHttpClientTest.shouldSendPostWithApplicationXWwwFormUrlencodedRequestContentTypeHeader,3,33,10,4,4,0.02,19,175,1,117,212,4,10,0.36,0.29
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testNonValidEmptyCheckBoundarySyntax,0,1,1,1,1,0.00,7,3,1,5,5,1,1,0.50,0.50
com.github.scribejava.httpclient.ning.NingHttpClientTest.shouldPassErrors,1,7,3,1,1,0.00,2,61,1,30,37,1,1,0.45,0.50
com.github.scribejava.httpclient.armeria.ArmeriaHttpClientTest.shouldSendPostRequestWithStringBody,2,17,4,1,1,0.04,24,124,1,125,44,6,3,0.74,0.67
com.github.scribejava.core.httpclient.jdk.JDKHttpClientTest.shouldSendPostRequestWithBodyParamsBody,3,43,13,4,4,0.04,26,217,1,204,226,0,15,0.47,0.00
com.github.scribejava.core.extractors.BaseStringExtractorTest.shouldExtractBaseStringFromOAuthRequest,2,25,6,3,3,0.09,49,102,0,124,64,0,10,0.66,0.00
com.github.scribejava.httpclient.ahc.AhcHttpClientTest.shouldSendGetRequest,1,6,3,1,1,0.00,2,51,1,40,18,0,1,0.69,0.00
com.github.scribejava.httpclient.ning.NingHttpClientTest.shouldSendPostWithApplicationXWwwFormUrlencodedRequestContentTypeHeader,1,8,4,1,1,0.00,2,62,1,50,34,1,2,0.60,0.33
com.github.scribejava.core.utils.OAuthEncoderTest.shouldPercentEncodeString,0,4,2,1,1,0.60,5,15,1,19,13,0,0,0.59,0.00
com.github.scribejava.core.extractors.OAuth2AccessTokenJsonExtractorTest.shouldParseResponse,1,13,5,3,3,0.44,8,71,1,82,83,0,5,0.50,0.00
com.github.scribejava.httpclient.ahc.AhcHttpClientTest.shouldCallCallback,1,6,3,1,1,0.00,2,51,1,30,29,0,1,0.51,0.00
com.github.scribejava.core.extractors.OAuth2AccessTokenJsonExtractorTest.shouldParseScopeFromResponse,1,15,5,3,3,0.46,20,73,1,90,78,5,2,0.54,0.71
com.github.scribejava.core.httpclient.multipart.MultipartUtilsTest.testNonValidLastWhiteSpaceCheckBoundarySyntax,0,1,1,1,1,0.00,7,3,1,5,5,1,1,0.50,0.50
com.github.scribejava.core.model.ParameterListTest.shouldProperlySortParameters,1,11,4,2,2,0.38,9,42,1,55,26,0,1,0.68,0.00
