TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
com.google.zxing.qrcode.encoder.MatrixUtilTestCase.testBuildMatrix,2,35,7,3,3,0.15,11,218,0,139,26,0,2,0.84,0.00
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder3,0,33,9,3,3,0.06,6,300,0,79,81,0,14,0.49,0.00
com.google.zxing.client.result.WifiParsedResultTestCase.testWpa,1,26,18,2,1,0.03,15,366,0,44,23,0,5,0.66,0.00
com.google.zxing.aztec.detector.DetectorTest.testErrorInParameterLocatorCompact,4,125,27,8,1,0.05,77,1258,1,543,327,0,23,0.62,0.00
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testMacroCharacters,0,67,10,2,2,0.00,15,607,0,154,240,5,14,0.39,0.26
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testX12Encodation,0,84,12,2,2,0.00,23,740,0,232,282,2,23,0.45,0.08
com.google.zxing.qrcode.encoder.EncoderTestCase.testAppendKanjiBytes,1,6,2,2,2,0.59,12,45,0,37,11,2,0,0.77,1.00
com.google.zxing.web.DoSFilterTestCase.testProxy,1,7,3,1,1,0.00,23,63,0,14,22,1,3,0.39,0.25
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder7,0,33,9,3,3,0.06,6,300,0,79,81,0,14,0.49,0.00
com.google.zxing.aztec.encoder.EncoderTest.testEncodeDecode31,2,92,17,5,2,0.03,21,858,1,366,240,0,21,0.60,0.00
com.google.zxing.common.StringUtilsTestCase.testUTF16LE,0,2,1,1,1,1.00,9,94,0,3,6,0,4,0.33,0.00
com.google.zxing.oned.UPCEANExtensionBlackBox1TestCase.testBlackBox,4,145,40,14,1,0.00,216,1892,0,423,729,7,28,0.37,0.20
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder25,0,33,9,3,3,0.06,6,300,0,81,84,0,14,0.49,0.00
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testTextEncodation,0,83,12,2,2,0.00,23,778,0,228,293,1,23,0.44,0.04
com.google.zxing.aztec.encoder.EncoderTest.testGenerateModeMessage,0,27,5,3,2,0.09,10,188,1,112,47,0,4,0.70,0.00
com.google.zxing.client.result.AddressBookParsedResultTestCase.testBizcard,1,30,11,2,1,0.09,19,235,0,34,30,4,4,0.53,0.50
com.google.zxing.common.BitMatrixTestCase.testXOR,1,11,2,1,1,0.55,34,65,0,35,20,5,2,0.64,0.71
com.google.zxing.qrcode.encoder.BitVectorTestCase.testXOR,1,5,1,1,1,0.73,13,26,0,17,9,0,0,0.65,0.00
com.google.zxing.negative.FalsePositivesBlackBoxTestCase.testBlackBox,4,281,67,18,1,0.00,152,3967,0,594,1946,5,90,0.23,0.05
