TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
redis.clients.jedis.commands.unified.pooled.PooledSetCommandsTest.sscan,0,78,25,8,1,0.02,29,345,1,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.expire,1,87,20,3,1,0.08,31,470,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledBinaryValuesCommandsTest.decrByWrongValue,0,57,19,5,1,0.01,24,295,1,0.00,0.00
redis.clients.jedis.commands.jedis.StreamsCommandsTest.xgroup,1,94,25,3,1,0.08,19,514,0,0.00,0.00
redis.clients.jedis.commands.jedis.TransactionCommandsTest.testResetStateWhenInMulti,1,93,21,3,1,0.08,24,563,1,0.00,0.00
redis.clients.jedis.commands.jedis.HashesCommandsTest.hsetVariadic,1,87,20,3,1,0.07,28,489,0,0.00,0.00
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclWhoAmI,1,69,16,3,1,0.08,13,444,0,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zrem,1,91,20,3,1,0.08,41,509,0,0.00,0.00
redis.clients.jedis.commands.jedis.ScriptingCommandsTest.functionFlush,1,79,20,3,1,0.07,31,462,0,0.00,0.00
redis.clients.jedis.commands.jedis.SortingCommandsTest.sort_ro,2,92,22,4,1,0.07,42,516,0,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.renameOldAndNewAreTheSame,1,79,18,3,1,0.08,27,446,0,0.00,0.00
redis.clients.jedis.util.JedisURIHelperTest.shouldGetDbFromURIWithoutCredentials,0,1,1,1,1,1.00,4,7,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zrandmember,0,86,27,6,1,0.05,63,359,1,0.00,0.00
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineSync,3,123,31,4,1,0.08,69,740,0,0.00,0.00
redis.clients.jedis.JedisClusterTest.testJedisClusterTimeout,3,116,25,5,1,0.07,71,704,1,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zunionstoreParams,4,101,25,5,1,0.09,47,549,0,0.00,0.00
redis.clients.jedis.ClusterPipeliningTest.testEvalNestedLists,3,122,31,4,1,0.08,63,737,0,0.00,0.00
redis.clients.jedis.commands.jedis.VariadicCommandsTest.sadd,1,77,18,3,1,0.06,26,456,0,0.00,0.00
redis.clients.jedis.ProtocolTest.fragmentedBulkReply,1,9,3,2,1,0.07,13,66,1,0.00,0.00
