TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemProdutoTest.naoDevePermitirNomeclaturaForaDoPadrao,0,2,2,2,2,0.00,1,12,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoImpostoTributacaoISSQNTest.deveRetornarTributacaoISSQNaoPassarCodigoValido,0,2,1,1,1,1.00,3,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.cte300.classes.nota.CTeNotaInfoDadosComplementaresFluxoTest.deveTerEntre1e15Caracteres,1,9,2,2,2,0.57,9,28,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemProdutoArmamentoTest.naoDevePermitirDescricaoComTamanhoInvalido,1,2,1,1,1,0.00,7,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoLocalTest.naoDevePermitirNumeroNulo,1,17,5,4,1,0.53,11,383,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.inutilizacao.NFEventoCancelamentoDadosTest.naoDevePermitirAnoNulo,1,24,7,4,1,0.49,14,398,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFImpostoDevolvidoTest.naoDevePermitirPercentualDevolucaoNula,1,1,1,1,1,1.00,4,333,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMSSN202Test.deveGerarXMLDeAcordoComOPadraoEstabelecido,1,21,9,5,1,0.68,15,371,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.DFPaisTest.deveRetornarPorCodigo,0,5,1,1,1,0.73,512,11,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMS30Test.deveGerarXMLDeAcordoComOPadraoEstabelecido,1,22,11,5,1,0.62,14,369,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoISSQNTest.devePermitirValorDeducaoNulo,1,35,9,4,1,0.45,19,420,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoTransportadorTest.devePermitirInscricaoEstadualValido,1,2,2,2,2,0.38,7,10,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMSSN900Test.devePermitirValorBCICMSSTNulo,1,29,11,5,1,0.72,21,385,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.statusservico.consulta.NFStatusServicoConsultaTest.deveObterVersaoComoFoiSetado,1,2,1,1,1,1.00,5,10,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.inutilizacao.NFRetornoEventoInutilizacaoDadosTest.deveObterMotivoComoFoiSetado,1,2,1,1,1,1.00,5,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoFaturaTest.devePermitirNumeroFaturaComTamanhoValido,1,3,2,2,2,0.33,4,11,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemProdutoTest.deveObterArmamentosComoFoiSetado,2,11,4,2,2,0.55,12,34,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.transformers.DFDateTimeTransformerTest.deveTestarEscrita,1,1,1,1,1,1.00,4,2,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoEmitenteTest.naoDevePermitirEnderecoNulo,1,19,3,3,1,0.46,12,395,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.cte300.classes.nota.CTeNotaInfoTest.deveGerarXMLCorretamente,29,209,68,6,1,0.64,197,1055,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMS10Test.naoDevePermitirValorBaseCalculoComTamanhoInvalido,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoISSQNTest.naoDevePermitirItemListaServicosComTamanhoInvalido,1,1,1,1,1,0.00,6,7,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFOperacaoConsumidorFinalTest.deveRepresentarOCodigoCorretamente,0,1,1,1,1,1.00,4,1,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoTest.deveObterIcmsComoFoiSetado,3,13,4,2,2,0.65,17,39,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMS10Test.naoDevePermitirOrigemNulo,1,15,3,3,1,0.78,15,363,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.cartacorrecao.NFInfoEventoCartaCorrecaoTest.deveGerarXMLDeAcordoComOPadraoEstabelecido,2,34,11,4,1,0.46,21,420,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe.NFeConfigTest.testaParametrosPadrao,1,4,2,2,1,1.00,8,6,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoICMSTotalTest.naoDevePermitirValorTotalIINulo,1,25,3,3,1,0.88,26,384,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoTransportadorTest.devePermitirUFNulo,1,10,3,3,1,0.58,9,365,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFOperadoraCartaoTest.deveObterStringficadoCorretamente,0,1,1,1,1,1.00,3,1,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFEnderecoTest.naoDevePermitirCodigoMunicipioComTamanhoInvalido,1,2,1,1,1,0.00,6,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.evento.NFEnviaEventoRetornoTest.deveObterEventoRetornoComoFoiSetado,1,2,1,1,1,1.00,6,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.utils.DFPersisterTest.deveParsearCorretamenteUmXMLDoNFEnviaEventoCancelamento,5,52,16,6,1,0.37,35,475,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFEnderecoTest.naoDevePermitirLogradouroNulo,1,20,4,3,1,0.52,13,389,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.assinatura.NFReferenceTest.deveObterDigestValueComoFoiSetado,1,2,1,1,1,1.00,5,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMSSTTest.naoDevePermitirOrigemNulo,1,8,3,3,1,0.70,9,350,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.NFRegimeTributarioTest.deveObterNuloCasoNaoExistaCodigo,0,2,1,1,1,0.80,3,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.cadastro.NFInfoConsultaCadastroTest.devePermitirCnpjNulo,1,6,3,3,1,0.77,8,349,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemProdutoTest.deveObterQuantidadeTributavelComoFoiSetado,1,4,2,2,2,0.30,6,12,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoTransportadorTest.naoDevePermitirInscricaoEstadualInvalido,1,1,1,1,1,0.00,9,7,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.validadores.DFBigIntegerValidadorTest.devePermitirTamanhoDentroDe11Campos,0,1,1,1,1,1.00,4,3,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.evento.NFInfoEventoRetornoTest.deveObterDataHoraRegistroComoFoiSetado,1,2,1,1,1,1.00,6,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMSPartilhadoTest.naoDevePermitirValorICMSSTComTamanhoInvalido,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoLocalTest.naoDevePermitirNomeMunicipioNulo,1,17,5,4,1,0.53,11,383,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemProdutoTest.naoDevePermitirCodigoDeBarrasNulo,4,37,8,3,1,0.49,51,117,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemProdutoCombustivelCIDETest.naoDevePermitirValorNulo,1,6,3,3,1,0.56,6,349,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoPISSTTest.naoDevePermitirSetarPercentualAliquotaCasoValorAliquotaOuQuantidadeVendidaEstejaSetado,1,6,2,2,2,0.60,14,28,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFInfoCupomFiscalReferenciadoTest.naoDevePermitirNumeroOrdemSequencialECFNulo,1,6,3,3,1,0.57,6,348,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemProdutoTest.naoDevePermitirCodigoDeBarrasTributavelNulo,4,38,8,3,1,0.44,51,123,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMSSN900Test.devePermitirValorICMSNulo,1,26,11,5,1,0.68,18,377,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoISSQNTest.devePermitirValorDescontoIncondicionadoISSNulo,1,35,9,4,1,0.45,19,420,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoLocalTest.naoDevePermitirUFNulo,1,16,4,4,1,0.55,11,383,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoIPITest.devePermitirClasseEnquadramentoNulo,2,15,7,5,1,0.57,12,389,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.NFNotaInfoItemProdutoVeiculoRestricaoTest.deveObterProdutoVeiculoRestricaoApartirDoSeuCodigo,0,2,1,1,1,0.80,8,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemProdutoCombustivelCIDETest.naoDevePermitirValorAliquotaNulo,1,6,3,3,1,0.56,6,349,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFEnderecoTest.naoDevePermitirLogradouroComTamanhoInvalido,1,2,1,1,1,0.00,6,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFEnderecoTest.naoDevePermitirDescricaoMunicipioComTamanhoInvalido,1,2,1,1,1,0.00,6,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMSSN201Test.naoDevePermitirValorCreditoICMSSNComTamanhoInvalido,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoISSQNTotalTest.devePermitirValorTotalDescontoCondicionadoNulo,1,17,6,5,1,0.74,16,365,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFEnderecoTest.naoDevePermitirBairroComTamanhoInvalido,1,2,1,1,1,0.00,6,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMSSTTest.naoDevePermitirValorICMSUFDestinoNulo,1,12,7,5,1,0.59,9,354,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoImportacaoTest.naoDevePermitirImpostoImportacaoNulo,1,6,3,3,1,0.63,7,351,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.NFTipoTest.deveObterStringficadoCorretamente,0,1,1,1,1,1.00,3,1,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemProdutoTest.deveObterCodigoEspecificadorSituacaoTributariaComoFoiSetado,1,6,2,2,2,0.24,5,19,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemProdutoVeiculoTest.naoDevePermitirPotenciaComTamanhoInvalido,1,3,1,1,1,0.00,6,11,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoICMSTotalTest.naoDevePermitirValorTotalIPIInvalidoMonetario,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoReboqueTest.naoDevePermitirPlacaVeiculoInvalido,1,1,1,1,1,0.00,8,7,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoCOFINSAliquotaTest.naoDevePermitirValorTamanhoInvalido,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemProdutoTest.naoDevePermitirCodigoDeBarrasTributavelNulo,4,37,8,3,1,0.49,50,117,1,0,0,0,0,0.00,0.00
