TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.cache2k.test.core.expiry.AllMutatorsExpireTest.test[expiryDurationMillis=3;variant=1;sharpExpiry=false;keepData=false],0,305,41,5,1,0.00,263,1820,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.removeIfEquals[strict=false; recordRefresh=true; disableStats=true; entryProcessor=false; wired=true; forwarding=false; keepData=false; keepExceptions=true; expiry=true; useObjectKey=false; withExpiryListener=false],0,200,23,4,1,0.00,99,936,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.peekAndRemove[strict=false; recordRefresh=false; disableStats=true; entryProcessor=false; wired=false; forwarding=false; keepData=true; keepExceptions=true; expiry=false; useObjectKey=false; withExpiryListener=false],0,113,22,4,1,0.00,71,469,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.peekAndPut_NullKey[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=true; forwarding=false; keepData=false; keepExceptions=false; expiry=false; useObjectKey=true; withExpiryListener=false],0,277,37,4,1,0.00,140,1290,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.containsAndRemove[strict=false; recordRefresh=true; disableStats=false; entryProcessor=false; wired=true; forwarding=false; keepData=true; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,94,14,3,1,0.00,69,368,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.peekAll_NullKey[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=false; forwarding=false; keepData=true; keepExceptions=true; expiry=true; useObjectKey=false; withExpiryListener=false],0,245,29,4,1,0.00,107,1166,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.remove[strict=false; recordRefresh=true; disableStats=true; entryProcessor=false; wired=true; forwarding=false; keepData=true; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,97,17,3,1,0.00,69,379,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.removeIfEquals_NullKey[strict=false; recordRefresh=true; disableStats=false; entryProcessor=false; wired=false; forwarding=false; keepData=false; keepExceptions=true; expiry=true; useObjectKey=false; withExpiryListener=false],0,97,17,3,1,0.00,69,379,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.iterator_clear[strict=false; recordRefresh=true; disableStats=true; entryProcessor=false; wired=true; forwarding=false; keepData=false; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,243,29,4,1,0.00,77,1105,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.initial_Get[strict=false; recordRefresh=true; disableStats=true; entryProcessor=false; wired=false; forwarding=false; keepData=true; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,100,18,3,1,0.00,69,385,0,0,0,0,0,0.00,0.00
