TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
io.protostuff.ProtobufBufferedOutputTest.testEmptyFooDelimited,0,4,3,1,1,0.28,102,38,0,4,9,1,1,0.31,0.5,0,0
io.protostuff.ProtobufBufferedOutputTest.testEmptyFooInner,0,9,4,1,1,0.09,133,123,0,15,26,1,2,0.37,0.33,0,0
io.protostuff.ProtobufBufferedOutputTest.testEmptyInnerBarDelimited,0,11,4,1,1,0.07,142,145,0,28,29,4,2,0.49,0.67,0,0
io.protostuff.ProtobufBufferedOutputTest.testEmptyInnerFooDelimited,0,11,4,1,1,0.07,231,145,0,28,29,4,2,0.49,0.67,0,0
io.protostuff.ProtobufBufferedOutputTest.testFoo,0,41,4,1,1,0.03,272,374,0,148,103,1,18,0.59,0.05,0,0
io.protostuff.ProtobufBufferedOutputTest.testFooDelimited,0,44,5,1,1,0.02,277,412,0,161,117,3,20,0.58,0.13,0,0
io.protostuff.ProtobufBufferedOutputTest.testFooSkipMessage,0,43,4,1,1,0.03,276,393,0,151,104,3,16,0.59,0.16,0,0
io.protostuff.ProtobufBufferedOutputTest.testJavaSerializable,0,49,9,1,1,0.11,195,379,0,96,72,2,9,0.57,0.18,0,0
io.protostuff.ProtobufBufferedOutputTest.testJavaSerializableEmptyBar,0,4,3,1,1,0.79,75,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtobufBufferedOutputTest.testJavaSerializableEmptyBarInner,0,18,6,1,1,0.19,139,179,0,29,32,0,5,0.48,0,0,0
io.protostuff.ProtobufBufferedOutputTest.testJavaSerializableEmptyFoo,0,4,3,1,1,0.79,99,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtobufBufferedOutputTest.testJavaSerializableEmptyFoo2,0,4,3,1,1,0.79,104,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtobufBufferedOutputTest.testJavaSerializableEmptyFooInner,0,4,3,1,1,0.79,109,47,0,6,9,2,0,0.4,1,0,1
io.protostuff.ProtobufBufferedOutputTest.testJavaSerializableGraphIOUtil,0,13,7,1,1,0.27,41,136,0,31,29,4,3,0.52,0.57,0,0
io.protostuff.ProtobufBufferedOutputTest.testNestedLarge,0,23,4,1,1,0.04,142,254,0,65,47,3,8,0.58,0.27,0,0
io.protostuff.ProtobufBufferedOutputTest.testNestedOverflow,0,22,4,1,1,0.04,148,249,0,54,44,2,6,0.55,0.25,0,0
