TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
org.pitest.classinfo.ClassInfoVisitorTest.shouldDetectCodeLineAtClassDeclarationsWhenClassHasDefaultConstructor,0,23,8,2,2,0.44,23,79,1,0.00,0.00
org.pitest.junit.JUnit4SuiteFinderTest.shouldReturnEmptyCollectionForUnannotatedClass,1,1,1,1,1,1.00,5,5,1,0.00,0.00
org.pitest.aggregate.ReportAggregatorBuilderTest.testCompiledCodeDirectories_withFile,0,3,2,1,1,0.55,7,16,1,0.00,0.00
org.pitest.mutationtest.commandline.OptionsParserTest.shouldParseReportDir,1,9,3,1,1,0.01,19,276,1,0.00,0.00
org.pitest.reflection.ReflectionTest.publicFieldsReturnsFieldsDeclaredInParent,0,1,1,1,1,1.00,4,4,1,0.00,0.00
org.pitest.classinfo.RepositoryTest.shouldReturnTrueWhenAskedForKnownClass,1,2,1,1,1,0.12,6,14,1,0.00,0.00
org.pitest.mutationtest.statistics.MutationStatisticsPrecursorTest.shouldCalculatePercentageDetected,2,36,6,2,1,0.20,11,93,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.AvoidAssertsMethodAdapterTest.shouldForwardInterceptedVisitLabelInstructionsToChild,1,1,1,1,1,1.00,9,8,1,0.00,0.00
org.pitest.junit.adapter.AdaptingRunListenerTest.shouldReportExceptionOnFailure,2,2,2,2,2,0.50,9,17,1,0.00,0.00
org.pitest.maven.MojoToReportOptionsConverterTest.testParsesTestMethodsToInclude,2,69,2,1,1,0.08,55,208,1,0.00,0.00
org.pitest.maven.PitMojoTest.testDoesNotThrowMojoFailureExceptionWhenCoverageOnThreshold,1,78,3,1,1,0.11,51,285,0,0.00,0.00
org.pitest.mutationtest.build.MutationDiscoveryTest.filtersEquivalentReturnValsMutants,3,217,60,15,5,0.05,21,614,0,0.00,0.00
org.pitest.mutationtest.build.intercept.equivalent.EquivalentReturnMutationFilterTest.filtersEquivalentOptionalMutantsInTryBlocks,0,69,22,4,3,0.02,40,217,0,0.00,0.00
org.pitest.maven.MojoToReportOptionsConverterTest.testDoesNotUseClasspathJarByDefault,2,69,2,1,1,0.08,54,208,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutatorTest.shouldReplaceFloat1With2,2,175,36,13,7,0.06,109,657,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutatorTest.shouldReplaceIFGTWithIFLE,2,181,37,13,7,0.06,113,650,1,0.00,0.00
org.pitest.maven.ScmMojoTest.testClassesAddedToScmAreMutationTested,1,95,6,1,1,0.10,54,357,1,0.00,0.00
org.pitest.mutationtest.statistics.ScoreTest.registerResultsShouldIncrementCount,1,6,2,1,1,0.50,8,20,0,0.00,0.00
org.pitest.mutationtest.tooling.MutationCoverageReportTest.shouldReportMutationsFoundWhenSomeDetected,5,390,95,21,7,0.03,35,1349,1,0.00,0.00
org.pitest.mutationtest.config.SettingsFactoryTest.shouldReturnADefaultJavaExecutableWhenNoneIsSpecified,1,5,3,2,2,0.73,9,16,1,0.00,0.00
org.pitest.mutationtest.mocksupport.JavassistInterceptorTest.shouldNotReplaceRequestedClassWithMutantWhenClassNameIsDifferent,3,20,9,6,6,0.38,23,100,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.AvoidStringSwitchedMethodAdapterTest.shouldForwardVisitLabelToChild,1,4,1,1,1,0.00,13,17,1,0.00,0.00
org.pitest.classinfo.ComputeClassWriterTest.shouldCommonParentInterfaceWhenNotImmediateParentOfSecondType,0,14,7,3,3,0.11,5,105,1,0.00,0.00
