TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
com.helger.collection.multimap.MultiLinkedHashMapVectorBasedTest.testAll,4,8,4,1,1,0.79,69,33,1,9,2,1,0,0.82,1,1,1
com.helger.collection.multimap.MultiTreeMapArrayListBasedTest.testAll,4,8,4,1,1,0.79,69,39,1,11,2,1,0,0.85,1,1,1
com.helger.collection.multimap.MultiTreeMapHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiTreeMapLinkedHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiTreeMapTreeSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiTreeMapVectorBasedTest.testAll,4,8,4,1,1,0.79,69,39,1,11,2,1,0,0.85,1,1,1
com.helger.collection.multimap.MultiWeakHashMapArrayListBasedTest.testAll,4,8,4,1,1,0.79,69,33,1,9,2,1,0,0.82,1,1,1
com.helger.collection.multimap.MultiWeakHashMapHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiWeakHashMapLinkedHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiWeakHashMapTreeSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiWeakHashMapVectorBasedTest.testAll,4,8,4,1,1,0.79,69,33,1,9,2,1,0,0.82,1,1,1
com.helger.collection.ring.RingBufferFifoTest.testInvalid,1,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0
com.helger.collection.ring.RingBufferFifoTest.testValidNoOverwrite,1,5,1,1,1,1,38,34,1,15,4,1,1,0.79,0.5,1,0
com.helger.collection.ring.RingBufferFifoTest.testValidWithOverwrite,1,5,1,1,1,1,38,34,1,21,2,4,0,0.91,1,1,1
com.helger.collection.ring.RingBufferLifoTest.testInvalid,1,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0
com.helger.collection.ring.RingBufferLifoTest.testValidNoOverwrite,1,5,1,1,1,1,38,35,1,15,4,1,2,0.79,0.33,1,0
com.helger.collection.ring.RingBufferLifoTest.testValidWithOverwrite,1,5,1,1,1,1,38,35,1,21,2,3,0,0.91,1,1,1
com.helger.collection.safe.SafeArrayListTest.testEqualsAndHashcode,1,7,1,1,1,0.21,10,24,1,11,5,7,1,0.69,0.88,0,0
com.helger.collection.safe.SafeArrayListTest.testSafeArrayListNewInstanceFactory,1,2,1,1,1,0.33,14,9,1,5,0,1,0,1,1,1,1
com.helger.collection.safe.SafeArrayListTest.testSafeArrayListNullFactory,1,3,1,1,1,0.29,10,12,1,4,1,0,1,0.8,0,1,0
com.helger.collection.safe.SafeVectorTest.testEqualsAndHashcode,1,7,1,1,1,0.21,10,24,1,12,5,5,1,0.71,0.83,0,0
com.helger.collection.safe.SafeVectorTest.testSafeVectorNewInstanceFactory,1,2,1,1,1,0.33,14,9,1,5,0,1,0,1,1,1,1
com.helger.collection.safe.SafeVectorTest.testSafeVectorNullFactory,1,3,1,1,1,0.29,10,12,1,4,1,0,1,0.8,0,1,0
com.helger.collection.single.SingleElementListTest.testAddAll,1,8,1,1,1,0.25,22,36,1,10,7,3,0,0.59,1,0,1
com.helger.collection.single.SingleElementListTest.testBasicStartFromEmpty,1,12,1,1,1,0.66,55,45,1,22,1,3,0,0.96,1,1,1
com.helger.collection.single.SingleElementListTest.testBasicStartWithElement,1,12,1,1,1,0.62,38,41,1,21,2,2,0,0.91,1,1,1
