TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.junit.rules.TestRuleTest.methodRuleIsIntroducedAndEvaluatedOnSubclass,1,210,63,11,1,0.00,37,822,0,0,0,0,0,0.00,0.00
org.junit.tests.listening.RunnerTest.testFinished,2,204,58,11,1,0.02,16,806,0,0,0,0,0,0.00,0.00
org.junit.tests.junit3compatibility.JUnit38ClassRunnerTest.plansDecoratorCorrectly,4,79,28,11,3,0.01,23,348,1,0,0,0,0,0.00,0.00
org.junit.rules.TestRuleTest.methodValidatePrivateRule,0,202,68,14,1,0.00,22,835,0,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.ParentRunnerFilteringTest.testCountClassFiltering,2,187,59,13,1,0.01,24,777,0,0,0,0,0,0.00,0.00
org.junit.samples.money.MoneyTest.testMoneyBagEquals,0,69,26,9,2,0.02,93,259,0,0,0,0,0,0.00,0.00
org.junit.tests.manipulation.SortableTest$TestClassRunnerIsSortable.sortingBackwardWorksOnSuite,1,203,64,14,1,0.01,24,838,0,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.SuiteTest.forwardCompatibilityWorksWithGetTests,1,164,50,13,2,0.01,5,680,1,0,0,0,0,0.00,0.00
junit.tests.runner.TextFeedbackTest.testEmptySuite,3,55,15,5,4,0.02,39,235,0,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.ParameterizedTestTest.runsForEverySingleArgumentOfArray,0,217,60,12,1,0.01,8,919,0,0,0,0,0,0.00,0.00
org.junit.tests.experimental.theories.PotentialAssignmentTest.shouldNotUseQuotesForNullValueDescriptions,0,56,22,8,1,0.02,6,221,1,0,0,0,0,0.00,0.00
org.junit.tests.listening.UserStopTest.stopClassRunner,1,158,49,12,1,0.00,4,701,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.arraysExpectedNullMessage,0,56,21,8,1,0.01,25,252,0,0,0,0,0,0.00,0.00
org.junit.rules.TestRuleTest.methodUseCustomMethodRule,1,202,65,13,1,0.01,36,808,0,0,0,0,0,0.00,0.00
org.junit.tests.experimental.theories.internal.AllMembersSupplierTest.dataPointsCollectionFieldsShouldBeRecognized,1,105,34,11,1,0.03,11,474,1,0,0,0,0,0.00,0.00
org.junit.samples.money.MoneyTest.testSimpleSubtract,0,67,26,9,2,0.01,80,254,0,0,0,0,0,0.00,0.00
org.junit.tests.running.methods.TimeoutTest.successWithTimeout,1,203,61,11,1,0.01,26,830,0,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.ParameterizedTestTest.multipleBeforeParamAndAfterParamAreRun,0,228,67,12,1,0.01,22,978,0,0,0,0,0,0.00,0.00
org.junit.tests.description.TestDescriptionTest.equalsIsFalseForSameNameAndDifferentUniqueId,0,55,20,7,1,0.04,21,220,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.assertThrowsUsesCanonicalNameWhenRequiredExceptionNotThrown,0,57,20,7,1,0.01,29,234,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.intsEqualLongs,0,50,20,7,1,0.01,21,197,0,0,0,0,0,0.00,0.00
org.junit.experimental.categories.CategoryValidatorTest.errorIsAddedWhenCategoryIsUsedWithBefore,2,70,26,9,1,0.03,9,314,1,0,0,0,0,0.00,0.00
org.junit.rules.TestWatcherTest$CallbackArguments.deprecatedSkipped,2,228,69,12,1,0.01,32,908,0,0,0,0,0,0.00,0.00
org.junit.rules.TempFolderRuleTest.tempFolderIsOnlyAccessibleByOwner,1,61,23,8,1,0.03,42,271,0,0,0,0,0,0.00,0.00
junit.tests.runner.TextFeedbackTest.testOneTest,4,63,15,5,4,0.02,40,255,0,0,0,0,0,0.00,0.00
